Daily River Authority trends for Gummanur from 01-Jan-1992 to 31-Dec-1996,,,,,
,,,,,
Dates,Last 10 Year Average (Flow in cumecs),Last Year (Flow in cumecs),Current Year (Flow in cumecs),Level (m),
01-Jan-92,1.5538,0.27,6.543,491.31,
02-Jan-92,1.5407,0.3,6.543,491.31,
03-Jan-92,1.8662,0.275,10.15,491.35,
04-Jan-92,1.6273,0.205,8.759,491.33,
05-Jan-92,1.4287,0.241,7.152,491.32,
06-Jan-92,1.2481,0.15,5.684,491.3,
07-Jan-92,1.4258,0.15,7.777,491.32,
08-Jan-92,1.1876,0.167,5.279,491.3,
09-Jan-92,1.042,0.125,4.639,491.29,
10-Jan-92,0.872,0.156,3.151,491.26,
11-Jan-92,1.222,0.129,7.456,491.32,
12-Jan-92,1.0107,0.127,5.684,491.3,
13-Jan-92,1.0831,0.1,5.684,491.3,
14-Jan-92,1.1219,0.074,5.418,491.3,
15-Jan-92,0.9585,0.073,4.144,491.28,
16-Jan-92,0.9542,0.046,4.144,491.28,
17-Jan-92,0.8829,0,3.465,491.27,
18-Jan-92,0.7507,0,3.261,491.27,
19-Jan-92,0.6563,0,2.852,491.26,
20-Jan-92,0.6121,0,2.852,491.26,
21-Jan-92,0.5723,0,2.852,491.26,
22-Jan-92,0.5645,0,2.852,491.26,
23-Jan-92,0.4701,0,2.569,491.25,
24-Jan-92,0.5157,0,2.758,491.26,
25-Jan-92,0.4856,0,2.852,491.26,
26-Jan-92,0.4601,0,2.569,491.25,
27-Jan-92,0.4957,0,2.852,491.26,
28-Jan-92,0.3029,0,1.415,491.23,
29-Jan-92,0.4006,0,2.303,491.25,
30-Jan-92,0.3849,0,2.303,491.25,
31-Jan-92,0.4006,0,2.303,491.25,
01-Feb-92,0.3444,0,2.303,491.25,
02-Feb-92,0.3453,0,2.303,491.25,
03-Feb-92,0.3212,0,2.303,491.25,
04-Feb-92,0.2661,0,1.823,491.24,
05-Feb-92,0.267,0,1.823,491.24,
06-Feb-92,0.2128,0,1.303,491.23,
07-Feb-92,0.6004,0,4.639,491.29,
08-Feb-92,0.3596,0,2.669,491.26,
09-Feb-92,0.2963,0,2.143,491.25,
10-Feb-92,0.2119,0,1.303,491.23,
11-Feb-92,0.1776,0,1.079,491.22,
12-Feb-92,0.2426,0,1.67,491.23,
13-Feb-92,0.3319,0,2.669,491.26,
14-Feb-92,0.4311,0,2.669,491.25,
15-Feb-92,0.2915,0,1.415,491.23,
16-Feb-92,0.3015,0,1.415,491.23,
17-Feb-92,0.3118,0,0.818,491.21,
18-Feb-92,0.2892,0,0.992,491.22,
19-Feb-92,0.5592,0,0.992,491.21,
20-Feb-92,0.5557,0,0.757,491.2,
21-Feb-92,0.2696,0,0.696,491.2,
22-Feb-92,0.2657,0,0.757,491.21,
23-Feb-92,0.2057,0,0.757,491.21,
24-Feb-92,0.2179,0,1.079,491.22,
25-Feb-92,0.1792,0,0.992,491.22,
26-Feb-92,0.1257,0,0.757,491.21,
27-Feb-92,0.1457,0,0.757,491.21,
28-Feb-92,0.1057,0,0.757,491.21,
29-Feb-92,0.099,0,0.69,491.2,
01-Mar-92,0.1001,0,0.601,491.2,
02-Mar-92,0.1057,0,0.757,491.21,
03-Mar-92,0.1205,0,0.905,491.21,
04-Mar-92,0.1205,0,0.905,491.22,
05-Mar-92,0.1292,0,0.992,491.22,
06-Mar-92,0.3192,0,0.992,491.22,
07-Mar-92,0.4966,0,0.566,491.19,
08-Mar-92,0.3532,0,0.532,491.19,
09-Mar-92,0.8911,0,0.511,491.18,
10-Mar-92,0.5723,0,0.723,491.16,
11-Mar-92,0.24,0,0,-,
12-Mar-92,0.23,0,0,-,
13-Mar-92,0.1,0,0,-,
14-Mar-92,0.46,0,0,-,
15-Mar-92,0.12,0,0,-,
16-Mar-92,0.14,0,0,-,
17-Mar-92,0.12,0,0,-,
18-Mar-92,0.08,0,0,-,
19-Mar-92,0.08,0,0,-,
20-Mar-92,0.06,0,0,-,
21-Mar-92,0.8395,0,0,-,
22-Mar-92,0.1481,0,0,-,
23-Mar-92,0.0684,0,0,-,
24-Mar-92,0.0436,0,0,-,
25-Mar-92,0.0391,0,0,-,
26-Mar-92,0.0381,0,0,-,
27-Mar-92,0.03,0,0,-,
28-Mar-92,0.01,0,0,-,
29-Mar-92,0.01,0,0,-,
30-Mar-92,0.01,0,0,-,
31-Mar-92,0.01,0,0,-,
01-Apr-92,0.01,0,0,-,
02-Apr-92,0.86,0,0,-,
03-Apr-92,0.03,0,0,-,
04-Apr-92,0.02,0,0,-,
05-Apr-92,0.01,0,0,-,
06-Apr-92,0.01,0,0,-,
07-Apr-92,0.01,0,0,-,
08-Apr-92,0.01,0,0,-,
09-Apr-92,0.01,0,0,-,
10-Apr-92,0.02,0,0,-,
11-Apr-92,0.03,0,0,-,
