Daily River Authority trends for Gummanur from 01-Jan-2015 to 11-Jul-2022,,,,,
,,,,,
Dates,Last 10 Year Average (Flow in cumecs),Last Year (Flow in cumecs),Current Year (Flow in cumecs),Level (m),
01-Jan-15,6.47235773,6.455907,6.027,491.33,
02-Jan-15,6.18581249,4.526381,4.927338,491.32,
03-Jan-15,5.42812063,4.5031323,4.983926,491.32,
04-Jan-15,5.53962849,4.5613856,4.659,491.32,
05-Jan-15,6.65711438,5.795,10.058388,491.37,
06-Jan-15,9.81452322,6.520046,9.962192,491.37,
07-Jan-15,9.1818138,7.406451,9.989285,491.37,
08-Jan-15,7.61929087,7.5832334,8.962794,491.36,
09-Jan-15,6.8090954,6.658849,10.130053,491.37,
10-Jan-15,6.16443123,6.564657,10.133195,491.37,
11-Jan-15,5.381344024,2.6180992,9.414,491.37,
12-Jan-15,5.35586929,2.256,9.414293,491.37,
13-Jan-15,6.18929486,3.1010594,9.59543,491.37,
14-Jan-15,6.83937648,2.967,8.6882,491.36,
15-Jan-15,6.50632952,6.5520287,8.787,491.36,
16-Jan-15,6.35559031,6.559462,8.646558,491.36,
17-Jan-15,6.17805766,4.592278,9.779256,491.37,
18-Jan-15,5.444545214,4.6311107,9.414,491.37,
19-Jan-15,5.40996625,3.792,10.219724,491.37,
20-Jan-15,5.204355905,6.450636,9.852981,491.37,
21-Jan-15,4.494088566,3.685774,6.4779096,491.35,
22-Jan-15,2.259207124,4.0388055,4.647166,491.31,
23-Jan-15,2.033428477,4.0530834,3.724156,491.3,
24-Jan-15,2.249891126,4.798141,3.7859488,491.3,
25-Jan-15,2.35765916,4.1611586,3.697,491.3,
26-Jan-15,2.4964,4.732,4.248,491.31,
27-Jan-15,3.12447295,3.2540455,4.5857162,491.31,
28-Jan-15,2.564295915,5.180527,3.881777,491.3,
29-Jan-15,2.42764635,4.9567475,3.9485648,491.3,
30-Jan-15,2.65007765,3.4909725,3.8352134,491.3,
31-Jan-15,2.97185534,3.5582683,3.9072287,491.3,
01-Feb-15,2.88954804,4.509953,3.697,491.3,
02-Feb-15,3.07813096,4.093,4.594198,491.31,
03-Feb-15,2.82620595,3.5281198,4.1660666,491.31,
